src,dst,proto,length,timestamp,src_port,dst_port,conn_state,DNS,connection_duration
10.0.0.1,10.0.0.66,TCP,60,1135111323.619989,122.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.620087,42542.0,98.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.620187,42542.0,989.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.620296,98.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.62032,989.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.62041,42542.0,977.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.620508,42542.0,2112.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.620553,977.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.620666,42542.0,1374.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.620747,2112.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.620777,1374.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.620889,42542.0,420.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.620989,42542.0,1112.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.621097,420.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.621147,1112.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.621263,42542.0,726.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.621365,42542.0,238.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.621411,726.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.621501,238.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.621587,42542.0,661.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.621687,42542.0,906.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.621788,42542.0,649.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.621834,661.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.62188,906.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.622004,649.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.622089,42542.0,407.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.622188,42542.0,893.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.622284,407.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.622311,893.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.622415,42542.0,2501.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.622514,42542.0,245.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.62256,2501.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.622672,42542.0,6142.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.622762,245.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.622792,6142.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.624123,42542.0,286.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.624226,42542.0,27006.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.62428,286.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.624358,27006.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.624449,42542.0,497.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.624551,42542.0,367.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.624588,497.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.62468,367.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.624768,42542.0,629.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.624868,42542.0,277.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.624967,42542.0,198.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.625027,629.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.625057,277.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.625126,198.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.625252,42542.0,64.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.625352,42542.0,901.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.625453,42542.0,1533.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.625499,64.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.625525,901.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.625606,1533.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.625724,42542.0,904.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.625825,42542.0,27004.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.625889,904.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.625981,27004.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.626064,42542.0,6144.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.626164,42542.0,463.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.626265,42542.0,489.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.626351,6144.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.626376,463.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.626459,489.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.626547,42542.0,2011.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.626646,42542.0,308.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.626704,2011.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.626805,42542.0,1995.0,SYN,,0.0
