src,dst,proto,length,timestamp,src_port,dst_port,conn_state,duration,DNS
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901793,63805,16811,REJ,0.03,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901793,63806,47733,S0,0.0,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901793,63806,59557,S0,0.0,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901794,63806,5215,S0,0.0,
192.168.202.79,192.168.229.153,tcp,0,1970-01-01 00:00:01.331901794,63805,42978,REJ,0.01,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901794,63805,53196,REJ,0.01,
192.168.202.79,192.168.229.252,tcp,0,1970-01-01 00:00:01.331901794,63805,31838,REJ,0.0,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901794,63805,41615,REJ,0.01,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901794,63806,50862,S0,0.0,
192.168.202.79,192.168.229.153,tcp,0,1970-01-01 00:00:01.331901794,63805,20459,REJ,0.02,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901794,63805,42779,REJ,0.01,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901795,63805,5574,S0,0.0,
192.168.202.79,192.168.229.252,tcp,0,1970-01-01 00:00:01.331901795,63805,61881,REJ,0.04,
192.168.202.79,192.168.229.252,tcp,0,1970-01-01 00:00:01.331901795,63805,18231,REJ,0.03,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901795,63805,22132,REJ,0.04,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901795,63805,710,REJ,0.04,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901795,63805,32707,REJ,0.0,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901796,63805,61640,S0,0.0,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901796,63805,46348,REJ,0.03,
192.168.202.79,192.168.229.153,tcp,0,1970-01-01 00:00:01.331901796,63805,21508,REJ,0.03,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901797,63805,21794,REJ,0.01,
